"","BTC","ETH","BNB","SOL","XRP","TRX","ADA","AVAX","BCH","DOT"
"412",61448.39453125,2928.70190429688,594.424560546875,143.520812988281,0.499475002288818,0.127316996455193,0.437653005123138,33.1672401428223,433.157928466797,6.62037897109985
"413",62901.44921875,2949.35961914062,591.60693359375,147.282333374023,0.504902005195618,0.125661998987198,0.436540007591248,32.4217224121094,437.340942382812,6.66549777984619
"414",61552.7890625,2881.15795898438,566.70703125,142.030395507812,0.499886989593506,0.125387996435165,0.428068995475769,31.568510055542,428.791107177734,6.47890186309814
"415",66267.4921875,3037.056640625,582.074340820312,158.186828613281,0.519003987312317,0.126406997442245,0.452987998723984,34.6796073913574,464.11572265625,6.96347999572754
"416",65231.58203125,2945.13110351562,569.190246582031,159.116455078125,0.51569801568985,0.125023007392883,0.459695011377335,34.461540222168,444.84912109375,7.02912521362305
"417",67051.875,3094.11865234375,581.178344726562,169.530548095703,0.523804008960724,0.124411001801491,0.48199999332428,36.4234848022461,466.264129638672,7.19675588607788
"418",66940.8046875,3122.94897460938,580.481140136719,172.539138793945,0.521390020847321,0.123070999979973,0.482407987117767,37.268310546875,475.792907714844,7.16195297241211
"419",66278.3671875,3071.84301757812,574.631652832031,170.091354370117,0.509661018848419,0.121196001768112,0.467602014541626,35.6218299865723,484.918304443359,6.93753480911255
"420",71448.1953125,3663.85546875,600.616333007812,186.520492553711,0.537333011627197,0.124447003006935,0.501757979393005,40.1394195556641,516.750732421875,7.5750298500061
"421",70136.53125,3789.31274414062,618.420471191406,178.116149902344,0.536983013153076,0.12364300340414,0.494774013757706,41.1637420654297,515.115051269531,7.61366176605225
"422",69122.3359375,3737.2177734375,614.671875,176.860778808594,0.526510000228882,0.120095998048782,0.483126997947693,39.9924278259277,498.794372558594,7.45447111129761
"423",67929.5625,3776.92724609375,598.670837402344,175.985778808594,0.528285980224609,0.115225002169609,0.465330004692078,38.508544921875,490.904205322266,7.20077419281006
"424",68526.1015625,3726.9345703125,600.225891113281,167.796920776367,0.535753011703491,0.115455999970436,0.45949399471283,37.9934692382812,494.866912841797,7.24429082870483
"425",69265.9453125,3749.23657226562,602.194458007812,168.437637329102,0.541809022426605,0.113783001899719,0.462072014808655,38.287784576416,493.415405273438,7.42813777923584
"426",68518.09375,3825.8974609375,599.825927734375,163.35090637207,0.528210997581482,0.113089002668858,0.458375006914139,36.7520446777344,483.971435546875,7.54723405838013
"427",69394.5546875,3892.0068359375,603.526428222656,169.996139526367,0.533771991729736,0.112466000020504,0.467963010072708,38.234317779541,489.164916992188,7.62829113006592
"428",68296.21875,3840.25634765625,601.213256835938,168.650848388672,0.528235018253326,0.111101999878883,0.456990003585815,36.9953956604004,470.170166015625,7.36707305908203
"429",67578.09375,3763.19653320312,594.972045898438,168.072677612305,0.523248016834259,0.111947998404503,0.450994998216629,36.1369247436523,465.504272460938,7.17242193222046
"430",68364.9921875,3746.849609375,595.026794433594,166.976531982422,0.518860995769501,0.11201299726963,0.44658100605011,35.9875755310059,465.230499267578,6.99785995483398
"431",67491.4140625,3760.02661132812,593.522338867188,165.637710571289,0.517799973487854,0.112072996795177,0.447461009025574,36.0558624267578,454.9013671875,6.98714685440063
"432",67706.9375,3813.19897460938,601.30419921875,166.030670166016,0.518312990665436,0.112478002905846,0.44997501373291,35.7601127624512,463.071197509766,7.05861186981201
"433",67751.6015625,3780.89599609375,603.026611328125,163.249908447266,0.513481974601746,0.11472199857235,0.44649401307106,34.9324913024902,458.344573974609,6.9890398979187
"434",68804.78125,3766.38916015625,626.432983398438,164.923461914062,0.520099997520447,0.113434001803398,0.45703598856926,35.0404663085938,464.846282958984,7.01024913787842
"435",70567.765625,3812.51586914062,686.201416015625,171.80192565918,0.525765001773834,0.1144730001688,0.461484998464584,36.0732879638672,477.093322753906,7.18740510940552
"436",71082.8203125,3864.26098632812,698.889404296875,173.48291015625,0.525710999965668,0.114635996520519,0.461174994707108,36.5215873718262,495.13134765625,7.24872779846191
"437",70757.1640625,3811.60595703125,710.464050292969,170.016220092773,0.521578013896942,0.114748001098633,0.458101987838745,35.9118156433105,495.823455810547,7.14201402664185
"438",69342.5859375,3678.62915039062,683.360961914062,162.507049560547,0.498950988054276,0.112710997462273,0.449642986059189,33.5077896118164,478.025146484375,6.65776681900024
"439",69305.7734375,3680.94995117188,682.665161132812,157.968902587891,0.493144989013672,0.114756003022194,0.436571002006531,32.2900314331055,469.893218994141,6.38842391967773
